suburb,type,price,Method,Date,Distance,Postcode,bedrooms,bathrooms,car,Landsize
Glen Iris,u,812000,S,16/09/2017,7.3,3146,2,1,2,
Glen Iris,t,1333000,S,16/09/2017,7.3,3146,3,2,2,344
Glen Iris,h,1366000,S,16/09/2017,7.3,3146,2,2,2,241
Glen Iris,h,1220000,PI,16/09/2017,7.3,3146,3,2,2,
Glen Waverley,h,1750000,PI,16/09/2017,16.7,3150,3,1,2,727
Glen Waverley,h,1480000,S,16/09/2017,16.7,3150,5,2,2,718
Glen Waverley,h,1150000,S,16/09/2017,16.7,3150,3,1,2,
Glen Waverley,t,1200000,S,16/09/2017,16.7,3150,3,2,2,
Glenroy,h,780000,S,16/09/2017,11.2,3046,3,2,2,
Greensborough,h,865000,S,16/09/2017,16.1,3088,4,2,2,734
Greenvale,h,650000,PI,16/09/2017,20.4,3059,5,2,2,512
Hallam,h,661000,S,16/09/2017,32.3,3803,3,1,2,819
Hampton,h,1520000,VB,16/09/2017,13.8,3188,3,1,2,627
Hampton,t,1205000,S,16/09/2017,13.8,3188,3,1,2,
Hampton,h,2550000,VB,16/09/2017,13.8,3188,4,2,2,620
Hampton,h,2135000,S,16/09/2017,13.8,3188,4,2,2,
Hampton,h,1820000,PI,16/09/2017,13.8,3188,4,2,2,412
Hampton,h,1450000,S,16/09/2017,13.8,3188,3,1,2,464
Hampton East,t,875000,VB,16/09/2017,13.8,3188,2,1,2,234
Hawthorn,h,2200000,VB,16/09/2017,5.3,3122,4,3,2,
Hawthorn,h,1450000,VB,16/09/2017,5.3,3122,3,1,2,216
Hawthorn East,u,497000,S,16/09/2017,6.2,3123,2,1,2,
Heidelberg West,h,846000,S,16/09/2017,8.8,3081,3,2,2,605
Highett,h,1060000,PI,16/09/2017,16,3190,4,2,2,
Highett,t,1010000,S,16/09/2017,16,3190,3,3,2,
Hillside,h,645500,S,16/09/2017,18,3037,3,2,2,719
Hoppers Crossing,h,575000,S,16/09/2017,18.4,3029,3,1,2,592
Hoppers Crossing,h,525000,SP,16/09/2017,18.4,3029,4,2,2,452
Hoppers Crossing,h,678000,S,16/09/2017,18.4,3029,3,1,2,
Hughesdale,t,917000,SA,16/09/2017,12.3,3166,4,3,2,
Ivanhoe,h,2800000,VB,16/09/2017,7.8,3079,4,2,2,
Jacana,h,626000,S,16/09/2017,14,3047,3,1,2,622
Keilor,h,840000,S,16/09/2017,14.5,3036,3,2,2,725
Kew,u,625000,PI,16/09/2017,5.4,3101,2,1,2,
Kew,h,1950000,S,16/09/2017,5.4,3101,3,2,2,460
Kew,u,920000,VB,16/09/2017,5.4,3101,2,2,2,
Kew,h,5065000,PI,16/09/2017,5.4,3101,5,4,2,892
Kew,h,5580000,SP,16/09/2017,5.4,3101,5,5,2,
Kew East,h,2125000,VB,16/09/2017,7.3,3102,3,2,2,741
Kew East,h,1975000,PI,16/09/2017,7.3,3102,3,1,2,676
Kingsville,t,740000,S,16/09/2017,6.4,3012,3,1,2,
Lower Plenty,h,1062000,S,16/09/2017,14.6,3093,3,2,2,
Malvern,h,1700000,VB,16/09/2017,5.9,3144,3,2,2,
Malvern,u,1000000,S,16/09/2017,5.9,3144,2,1,2,
Malvern,h,3400000,S,16/09/2017,5.9,3144,4,2,2,561
Malvern East,u,725000,S,16/09/2017,8.4,3145,2,1,2,
Malvern East,u,1500000,VB,16/09/2017,8.4,3145,2,2,2,
Maribyrnong,u,372000,SP,16/09/2017,4.3,3032,2,1,2,
Meadow Heights,h,370000,S,16/09/2017,17.4,3048,3,1,2,784
Melton South,h,370000,S,16/09/2017,29.8,3338,3,1,2,
Melton West,h,486000,S,16/09/2017,31.7,3337,4,1,2,
Mentone,t,995000,S,16/09/2017,20,3194,3,3,2,248
Mentone,h,950000,PI,16/09/2017,20,3194,3,1,2,531
Mill Park,h,675000,S,16/09/2017,17.9,3082,3,1,2,640
Mill Park,h,715000,S,16/09/2017,17.9,3082,4,2,2,
Mill Park,h,657000,S,16/09/2017,17.9,3082,3,2,2,
Mill Park,h,900000,S,16/09/2017,17.9,3082,4,2,2,609
Mitcham,h,990000,SA,16/09/2017,17.2,3132,3,1,2,680
Mont Albert,t,1580000,S,16/09/2017,10.2,3127,3,2,2,1153
Montmorency,h,940000,S,16/09/2017,16.2,3094,4,2,2,870
Moonee Ponds,h,883500,S,16/09/2017,6.2,3039,2,1,2,
Moonee Ponds,u,620000,S,16/09/2017,6.2,3039,2,1,2,
Moonee Ponds,h,1200000,VB,16/09/2017,6.2,3039,4,1,2,455
Moonee Ponds,h,1007500,S,16/09/2017,6.2,3039,3,1,2,450
Moorabbin,u,828000,S,16/09/2017,14.3,3189,3,2,2,301
Mount Waverley,h,1386000,S,16/09/2017,14.2,3149,4,2,2,
Mount Waverley,h,1451000,S,16/09/2017,14.2,3149,3,2,2,730
Mount Waverley,h,1480000,S,16/09/2017,14.2,3149,4,2,2,695
Mulgrave,h,850000,PI,16/09/2017,18.8,3170,3,1,2,648
Mulgrave,h,912000,S,16/09/2017,18.8,3170,3,2,2,753
Murrumbeena,t,1100000,S,16/09/2017,10.1,3163,3,2,2,
Narre Warren,h,792500,S,16/09/2017,34.1,3805,4,2,2,846
Newport,h,1262000,SP,16/09/2017,6.2,3015,3,2,2,343
North Melbourne,t,790000,S,16/09/2017,1.8,3051,2,1,2,
Northcote,h,1100000,S,16/09/2017,5.3,3070,2,1,2,
Nunawading,h,903000,S,16/09/2017,15.4,3131,3,2,2,
Oak Park,h,725000,SP,16/09/2017,11.2,3046,3,1,2,327
Oakleigh South,h,1255000,S,16/09/2017,15.5,3167,4,2,2,
Oakleigh South,h,1361000,S,16/09/2017,15.5,3167,5,3,2,
Oakleigh South,h,950000,PI,16/09/2017,15.5,3167,3,1,2,660
Ormond,h,1790000,S,16/09/2017,11.4,3204,3,2,2,
Ormond,u,507000,S,16/09/2017,11.4,3204,2,1,2,
Parkdale,h,1250000,S,16/09/2017,21.5,3195,3,1,2,802
Pascoe Vale,h,910000,S,16/09/2017,8.5,3044,3,1,2,
Pascoe Vale,h,850000,VB,16/09/2017,8.5,3044,3,1,2,712
Point Cook,h,760000,S,16/09/2017,14.7,3030,4,2,2,
Point Cook,h,711000,S,16/09/2017,14.7,3030,4,2,2,
Point Cook,h,600000,S,16/09/2017,14.7,3030,4,2,2,
Point Cook,h,635000,S,16/09/2017,14.7,3030,4,2,2,334
Port Melbourne,h,1260000,S,16/09/2017,3.5,3207,2,1,2,112
Port Melbourne,h,1960000,SP,16/09/2017,3.5,3207,3,2,2,253
Prahran,h,1610000,PI,16/09/2017,4.6,3181,3,2,2,111
Preston,h,1035000,S,16/09/2017,8.4,3072,3,1,2,696
Princes Hill,h,1625000,PI,16/09/2017,3.5,3054,2,1,2,253
Reservoir,t,625000,PI,16/09/2017,12,3073,3,3,2,
Reservoir,h,912000,S,16/09/2017,12,3073,4,1,2,871
Reservoir,u,602500,S,16/09/2017,12,3073,3,2,2,
Reservoir,h,1074000,S,16/09/2017,12,3073,3,1,2,
Reservoir,u,415000,SP,16/09/2017,12,3073,2,1,2,
Richmond,h,3270000,S,16/09/2017,2.4,3121,3,1,2,
Richmond,u,530000,SP,16/09/2017,2.4,3121,2,1,2,
Richmond,t,1500000,VB,16/09/2017,2.4,3121,3,2,2,72
Richmond,u,485000,S,16/09/2017,2.4,3121,1,1,2,
Richmond,h,1276000,S,16/09/2017,2.4,3121,2,2,2,
Ringwood,h,800000,S,16/09/2017,19.9,3134,3,1,2,691
Ringwood,h,935000,S,16/09/2017,19.9,3134,4,3,2,540
Ringwood East,h,746000,S,16/09/2017,21.3,3135,3,1,2,400
Rosanna,h,1365000,SP,16/09/2017,8.9,3084,4,3,2,687
Rosanna,h,1775000,S,16/09/2017,8.9,3084,4,2,2,1240
Rowville,h,955000,SP,16/09/2017,23.5,3178,4,2,2,
Sandringham,h,1665000,S,16/09/2017,15.2,3191,4,3,2,780
Scoresby,h,950000,S,16/09/2017,22.2,3179,4,2,2,758
South Melbourne,h,855000,S,16/09/2017,1.9,3205,1,1,2,67
South Morang,h,527000,S,16/09/2017,20.5,3752,3,2,2,
South Morang,h,541000,S,16/09/2017,20.5,3752,3,2,2,
South Yarra,u,787500,S,16/09/2017,2.7,3141,2,1,2,
Springvale,h,770000,SP,16/09/2017,20.8,3171,3,1,2,585
St Kilda,u,461500,S,16/09/2017,5,3182,1,1,2,
St Kilda,u,408000,S,16/09/2017,5,3182,1,1,2,
Strathmore,h,1300000,PI,16/09/2017,8.2,3041,3,2,2,
Strathmore,h,1415000,S,16/09/2017,8.2,3041,2,1,2,
Sunbury,h,436000,SP,16/09/2017,31.7,3429,3,2,2,350
Sunshine,h,830000,PI,16/09/2017,10.5,3020,4,1,2,502
Sunshine North,h,665000,S,16/09/2017,10.5,3020,4,2,2,600
Sunshine North,h,560000,S,16/09/2017,10.5,3020,3,1,2,
Sunshine West,h,720000,S,16/09/2017,10.5,3020,5,2,2,
Surrey Hills,u,1290000,S,16/09/2017,10.2,3127,3,2,2,270
Surrey Hills,h,3851000,S,16/09/2017,10.2,3127,4,4,2,
Templestowe,h,1930000,S,16/09/2017,15.5,3106,5,3,2,807
Templestowe Lower,h,1260000,PI,16/09/2017,12.4,3107,4,2,2,
Thornbury,h,760000,S,16/09/2017,7,3071,2,1,2,
Thornbury,h,1605000,PI,16/09/2017,7,3071,4,2,2,348
Thornbury,h,1300000,SP,16/09/2017,7,3071,3,1,2,531
Toorak,u,932000,SP,16/09/2017,4.1,3142,3,1,2,
Toorak,u,860000,PI,16/09/2017,4.1,3142,2,1,2,
Tullamarine,h,705000,S,16/09/2017,12.9,3043,3,2,2,
Viewbank,h,1009000,S,16/09/2017,8.9,3084,3,2,2,663
Wallan,h,366000,S,16/09/2017,44.2,3756,3,1,2,502
Wantirna South,h,1060000,SP,16/09/2017,14.7,3152,4,2,2,729
Watsonia,h,1100000,S,16/09/2017,14.5,3087,5,2,2,
Watsonia,h,599500,S,16/09/2017,14.5,3087,2,1,2,
Watsonia,h,792000,S,16/09/2017,14.5,3087,3,1,2,571
Werribee,h,615000,S,16/09/2017,14.7,3030,3,1,2,
Werribee,h,470000,S,16/09/2017,14.7,3030,3,1,2,640
Werribee,h,515000,SP,16/09/2017,14.7,3030,3,2,2,251
West Footscray,h,870000,SP,16/09/2017,6.4,3012,3,1,2,417
West Footscray,h,850000,PI,16/09/2017,6.4,3012,4,2,2,
West Melbourne,t,1500000,SP,16/09/2017,3.1,3003,3,2,2,862
Westmeadows,h,702000,S,16/09/2017,16.5,3049,4,2,2,
Wheelers Hill,h,1211000,S,16/09/2017,16.7,3150,4,3,2,653
Williams Landing,h,555000,SP,16/09/2017,17.6,3027,3,2,2,265
Williamstown North,h,1190000,S,16/09/2017,6.8,3016,3,2,2,297
Windsor,h,1425000,S,16/09/2017,4.6,3181,3,1,2,188
Windsor,h,2056000,SP,16/09/2017,4.6,3181,3,1,2,
Abbotsford,u,1001000,S,19/08/2017,3,3067,3,2,2,
Albanvale,h,506000,S,19/08/2017,14,3021,3,1,2,544
Albanvale,h,502000,S,19/08/2017,14,3021,3,1,2,
Albert Park,h,2550000,S,19/08/2017,3,3206,4,2,2,152
Alphington,h,341000,S,19/08/2017,5.7,3078,1,1,2,
Altona,h,901000,S,19/08/2017,11,3018,3,2,2,
Armadale,u,440000,VB,19/08/2017,6.3,3143,1,1,2,
Armadale,u,750000,S,19/08/2017,6.3,3143,2,1,2,
Balwyn,h,2100000,PI,19/08/2017,7.9,3103,6,3,2,845
Balwyn North,h,1900000,PI,19/08/2017,9.7,3104,3,1,2,912
Balwyn North,h,2000000,PI,19/08/2017,9.7,3104,4,3,2,958
Balwyn North,h,2400000,S,19/08/2017,9.7,3104,4,2,2,746
Balwyn North,h,2270000,PI,19/08/2017,9.7,3104,4,2,2,654
Balwyn North,h,2600000,VB,19/08/2017,9.7,3104,5,4,2,708
Balwyn North,h,2321000,S,19/08/2017,9.7,3104,3,1,2,923
Balwyn North,h,1890000,S,19/08/2017,9.7,3104,3,2,2,632
Bellfield,h,600000,PI,19/08/2017,8.8,3081,2,1,2,
Bentleigh,h,1895000,S,19/08/2017,11.4,3204,4,2,2,557
Bentleigh,h,1110000,PI,19/08/2017,11.4,3204,2,1,2,
Bentleigh East,t,1225000,PI,19/08/2017,13.8,3165,4,3,2,
Bentleigh East,t,1230000,S,19/08/2017,13.8,3165,4,3,2,
Bentleigh East,h,1595000,S,19/08/2017,13.8,3165,4,1,2,581
Berwick,h,730000,S,19/08/2017,35.2,3806,3,1,2,
Briar Hill,h,880000,S,19/08/2017,16.1,3088,4,2,2,
Brighton,h,2020000,S,19/08/2017,10.5,3186,3,2,2,
Brighton,h,1740000,S,19/08/2017,10.5,3186,4,1,2,
Brighton East,h,1300000,S,19/08/2017,10.3,3187,4,3,2,221
Broadmeadows,h,637000,S,19/08/2017,14,3047,3,1,2,670
Broadmeadows,h,582000,S,19/08/2017,14,3047,3,1,2,
Broadmeadows,h,1335000,S,19/08/2017,14,3047,3,1,2,697
Brunswick,h,1315000,S,19/08/2017,5.2,3056,4,2,2,
Brunswick,u,505000,S,19/08/2017,5.2,3056,2,1,2,
Brunswick East,u,320000,S,19/08/2017,4,3057,1,1,2,682
Brunswick East,u,360000,SP,19/08/2017,4,3057,1,1,2,
Brunswick East,h,910000,S,19/08/2017,4,3057,2,1,2,
Brunswick West,h,1450000,S,19/08/2017,5.2,3055,5,3,2,
Brunswick West,u,461500,SP,19/08/2017,5.2,3055,2,1,2,
Brunswick West,t,650000,VB,19/08/2017,5.2,3055,2,1,2,
Bulleen,h,1230000,S,19/08/2017,10.8,3105,3,1,2,757
Bulleen,h,1240000,S,19/08/2017,10.8,3105,4,2,2,602
Bundoora,h,1234000,S,19/08/2017,12.1,3083,3,1,2,896
Burwood,h,1588000,S,19/08/2017,10.4,3125,3,2,2,708
Camberwell,h,1901000,PI,19/08/2017,7.7,3124,3,2,2,
Camberwell,h,2600000,PI,19/08/2017,7.7,3124,4,3,2,
Camberwell,u,905000,S,19/08/2017,7.7,3124,3,2,2,
Canterbury,h,2550000,PI,19/08/2017,8.4,3126,5,2,2,692
Carlton North,h,1540000,S,19/08/2017,3.5,3054,2,1,2,158
Caroline Springs,h,700000,S,19/08/2017,14.8,3023,3,2,2,660
Caulfield South,h,2450000,PI,19/08/2017,8.7,3162,5,4,2,554
Chelsea Heights,h,710000,SP,19/08/2017,27,3196,3,1,2,650
Cheltenham,u,681000,SP,19/08/2017,17.9,3192,2,1,2,
Cheltenham,t,955000,SP,19/08/2017,17.9,3192,2,2,2,836
Clayton,h,753000,S,19/08/2017,16.7,3168,2,1,2,
Clifton Hill,h,1457500,S,19/08/2017,3.6,3068,3,3,2,
Clifton Hill,t,1330000,S,19/08/2017,3.6,3068,3,2,2,
Clifton Hill,h,3900000,S,19/08/2017,3.6,3068,5,2,2,
Coburg,h,1085000,S,19/08/2017,6.7,3058,4,2,2,430
Craigieburn,h,582500,S,19/08/2017,20.6,3064,3,1,2,947
Craigieburn,h,480000,SP,19/08/2017,20.6,3064,4,2,2,312
Craigieburn,h,523000,S,19/08/2017,20.6,3064,4,2,2,484
Craigieburn,h,485000,S,19/08/2017,20.6,3064,3,2,2,321
Dandenong,h,789000,S,19/08/2017,24.7,3175,3,1,2,
Dingley Village,h,970000,PI,19/08/2017,22.2,3172,4,2,2,364
Doncaster East,t,920000,VB,19/08/2017,14.3,3109,3,2,2,
Doncaster East,h,900000,VB,19/08/2017,14.3,3109,3,2,2,
Doncaster East,h,1408000,S,19/08/2017,14.3,3109,3,1,2,656
Donvale,h,988000,S,19/08/2017,16.1,3111,3,2,2,243
Eaglemont,h,1925000,S,19/08/2017,8.9,3084,3,2,2,780
Edithvale,h,875000,SP,19/08/2017,27,3196,3,1,2,694
Edithvale,h,995000,PI,19/08/2017,27,3196,3,2,2,
Elsternwick,u,566000,SP,19/08/2017,7.2,3185,2,1,2,
Elsternwick,h,2410000,PI,19/08/2017,7.2,3185,4,2,2,390
Eltham,h,810000,VB,19/08/2017,18,3095,3,2,2,868
Eltham North,h,901000,S,19/08/2017,18,3095,3,1,2,
Elwood,u,521000,S,19/08/2017,7.2,3184,2,1,2,
Elwood,h,1380000,S,19/08/2017,7.2,3184,3,1,2,1730
Epping,h,631000,S,19/08/2017,19.6,3076,3,2,2,
Epping,h,681000,S,19/08/2017,19.6,3076,4,2,2,647
Essendon,u,485000,S,19/08/2017,7.5,3040,2,1,2,
Essendon,u,491000,S,19/08/2017,7.5,3040,2,1,2,
Essendon,h,1600000,S,19/08/2017,7.5,3040,4,4,2,543
Essendon,h,2053000,S,19/08/2017,7.5,3040,4,2,2,
Fawkner,h,874000,S,19/08/2017,13.1,3060,4,1,2,687
Ferntree Gully,u,673000,S,19/08/2017,24.8,3156,3,2,2,
Ferntree Gully,h,875000,S,19/08/2017,24.8,3156,4,3,2,793
Fitzroy,t,580000,VB,19/08/2017,2.1,3065,1,1,2,782
Fitzroy,h,2478000,S,19/08/2017,2.1,3065,3,2,2,205
Fitzroy North,h,1490000,S,19/08/2017,3.6,3068,3,1,2,
Glen Iris,h,708000,S,19/08/2017,7.3,3146,2,1,2,151
Glen Iris,h,1300000,VB,19/08/2017,7.3,3146,3,1,2,403
Glen Iris,h,1307500,S,19/08/2017,7.3,3146,3,1,2,316
Glen Iris,u,552000,S,19/08/2017,7.3,3146,2,1,2,
Glen Iris,h,1390000,PI,19/08/2017,7.3,3146,3,2,2,303
Glen Waverley,h,1300000,S,19/08/2017,16.7,3150,3,2,2,733
Glenroy,h,831000,S,19/08/2017,11.2,3046,4,3,2,708
Glenroy,h,570000,S,19/08/2017,11.2,3046,3,1,2,308
Glenroy,h,805000,SP,19/08/2017,11.2,3046,2,1,2,712
Gowanbrae,h,931000,S,19/08/2017,12.9,3043,4,2,2,462
Greensborough,h,897000,S,19/08/2017,16.1,3088,4,2,2,
Hampton,h,2500000,S,19/08/2017,13.8,3188,5,4,2,627
Hawthorn,u,660000,S,19/08/2017,5.3,3122,2,1,2,
Hawthorn,h,2300000,S,19/08/2017,5.3,3122,4,3,2,
Hawthorn East,t,865000,SA,19/08/2017,6.2,3123,3,2,2,
Hawthorn East,h,1700000,S,19/08/2017,6.2,3123,2,1,2,223
Heathmont,h,1000000,S,19/08/2017,21.3,3135,3,1,2,715
Highett,h,1080000,S,19/08/2017,16,3190,3,1,2,652
Highett,h,2585000,S,19/08/2017,16,3190,3,2,2,703
Hillside,h,920000,S,19/08/2017,18,3037,4,2,2,
Hillside,h,523500,SP,19/08/2017,18,3037,4,2,2,
Hoppers Crossing,h,635000,S,19/08/2017,18.4,3029,4,2,2,
Hoppers Crossing,h,520000,S,19/08/2017,18.4,3029,3,1,2,538
Hoppers Crossing,h,600000,S,19/08/2017,18.4,3029,4,2,2,
Hughesdale,h,1200000,S,19/08/2017,12.3,3166,2,1,2,
Ivanhoe,t,1302000,S,19/08/2017,7.8,3079,4,2,2,
Jacana,h,650000,S,19/08/2017,14,3047,4,3,2,693
Keilor Downs,h,756001,S,19/08/2017,15.5,3038,3,2,2,
Keilor East,h,981000,S,19/08/2017,11.7,3033,4,2,2,633
Keilor East,h,1250000,S,19/08/2017,11.7,3033,4,2,2,534
Kew,h,2536000,S,19/08/2017,5.4,3101,4,1,2,
Kew,h,1610000,S,19/08/2017,5.4,3101,3,2,2,
Kew,u,1005000,S,19/08/2017,5.4,3101,2,1,2,
Kew,u,575000,SP,19/08/2017,5.4,3101,2,1,2,
Kilsyth,h,780000,SP,19/08/2017,26,3137,3,2,2,862
Kurunjang,h,401500,S,19/08/2017,31.7,3337,3,2,2,
Laverton,h,590000,S,19/08/2017,15.5,3028,3,1,2,
Maidstone,h,610000,PI,19/08/2017,6.4,3012,2,1,2,208
Malvern East,u,735000,S,19/08/2017,8.4,3145,2,1,2,
Malvern East,h,1800000,PI,19/08/2017,8.4,3145,3,2,2,460
Maribyrnong,h,1500000,S,19/08/2017,4.3,3032,4,2,2,650
McKinnon,t,1125000,PI,19/08/2017,11.4,3204,3,2,2,305
Mentone,t,881000,S,19/08/2017,20,3194,3,2,2,332
Mentone,h,925000,SP,19/08/2017,20,3194,3,1,2,
Mernda,h,430000,SP,19/08/2017,25.9,3754,3,2,2,180
Mernda,h,547000,S,19/08/2017,25.9,3754,3,2,2,410
Middle Park,h,2220000,PI,19/08/2017,3,3206,3,1,2,
Mill Park,h,470000,S,19/08/2017,17.9,3082,3,1,2,290
Mill Park,u,397000,S,19/08/2017,17.9,3082,2,1,2,
Mitcham,u,700000,VB,19/08/2017,17.2,3132,2,1,2,
Mont Albert,h,1600000,VB,19/08/2017,10.2,3127,3,2,2,
Mordialloc,h,1150000,S,19/08/2017,21.5,3195,3,1,2,
Mount Evelyn,h,515000,S,19/08/2017,31.6,3796,3,1,2,915
Mount Waverley,u,875000,S,19/08/2017,14.2,3149,3,2,2,
Mount Waverley,t,1150000,PI,19/08/2017,14.2,3149,3,2,2,
Mount Waverley,h,1750000,SA,19/08/2017,14.2,3149,4,2,2,570
Mount Waverley,h,1940000,PI,19/08/2017,14.2,3149,5,3,2,
Mount Waverley,h,1340000,S,19/08/2017,14.2,3149,4,2,2,800
Murrumbeena,h,1388000,S,19/08/2017,10.1,3163,4,1,2,
Northcote,h,1180000,SP,19/08/2017,5.3,3070,3,2,2,
Nunawading,t,860000,S,19/08/2017,15.4,3131,3,2,2,
Oak Park,h,850000,VB,19/08/2017,11.2,3046,3,2,2,
Oakleigh East,t,905000,S,19/08/2017,12.3,3166,3,2,2,
Oakleigh South,h,955500,S,19/08/2017,15.5,3167,2,1,2,697
Oakleigh South,h,1210000,S,19/08/2017,15.5,3167,6,3,2,
Ormond,u,345000,S,19/08/2017,11.4,3204,1,1,2,
Ormond,h,1005500,S,19/08/2017,11.4,3204,3,1,2,369
Pakenham,h,442000,S,19/08/2017,47.3,3810,4,2,2,
Parkdale,u,742000,S,19/08/2017,21.5,3195,3,2,2,
Port Melbourne,h,1230000,S,19/08/2017,3.5,3207,3,1,2,340
Prahran,h,1390000,S,19/08/2017,4.6,3181,3,2,2,125
Preston,h,961000,S,19/08/2017,8.4,3072,3,1,2,529
Reservoir,h,866000,S,19/08/2017,12,3073,4,2,2,576
Reservoir,h,775500,S,19/08/2017,12,3073,3,1,2,586
Reservoir,h,1175000,S,19/08/2017,12,3073,4,1,2,
Reservoir,h,790000,PI,19/08/2017,12,3073,3,1,2,
Richmond,h,1975000,S,19/08/2017,2.4,3121,2,1,2,
Ringwood,h,720000,S,19/08/2017,19.9,3134,3,1,2,
Roxburgh Park,h,400000,S,19/08/2017,20.6,3064,3,1,2,368
South Yarra,u,290000,VB,19/08/2017,2.7,3141,1,1,2,
Spotswood,h,782500,S,19/08/2017,6.2,3015,2,1,2,243
St Albans,h,626000,S,19/08/2017,14,3021,3,1,2,557
Sunbury,h,431250,SP,19/08/2017,31.7,3429,3,2,2,650
Sunbury,h,555000,S,19/08/2017,31.7,3429,4,2,2,
Sunshine West,h,650000,S,19/08/2017,10.5,3020,3,1,2,650
Taylors Lakes,h,600000,PI,19/08/2017,15.5,3038,3,2,2,
Templestowe Lower,h,1280000,PI,19/08/2017,12.4,3107,4,2,2,887
Templestowe Lower,h,1495000,PI,19/08/2017,12.4,3107,4,2,2,
Thornbury,h,1200000,S,19/08/2017,7,3071,2,1,2,277
Thornbury,u,351000,S,19/08/2017,7,3071,1,1,2,
Truganina,h,635000,S,19/08/2017,18.4,3029,4,2,2,512
Tullamarine,h,565500,SP,19/08/2017,12.9,3043,3,1,2,
Vermont,h,1300000,S,19/08/2017,17.2,3133,5,2,2,891
Vermont South,h,1138000,S,19/08/2017,17.2,3133,4,2,2,784
Vermont South,h,1300000,S,19/08/2017,17.2,3133,5,2,2,786
Viewbank,h,1612000,S,19/08/2017,8.9,3084,4,2,2,1113
Warrandyte,h,1600000,S,19/08/2017,21.1,3113,4,2,2,4168
Watsonia,h,790000,S,19/08/2017,14.5,3087,3,1,2,
Watsonia,h,900000,SP,19/08/2017,14.5,3087,4,1,2,670
Werribee,h,412700,S,19/08/2017,14.7,3030,3,1,2,299
Werribee,h,591000,S,19/08/2017,14.7,3030,6,3,2,
West Footscray,h,990000,S,19/08/2017,6.4,3012,4,2,2,501
West Footscray,h,1100500,S,19/08/2017,6.4,3012,3,2,2,427
West Footscray,h,675000,VB,19/08/2017,6.4,3012,3,1,2,160
West Footscray,h,805000,S,19/08/2017,6.4,3012,3,1,2,
West Footscray,h,778000,S,19/08/2017,6.4,3012,3,1,2,
Wheelers Hill,h,1480000,S,19/08/2017,16.7,3150,4,3,2,649
Wheelers Hill,h,1250000,VB,19/08/2017,16.7,3150,4,2,2,
Wheelers Hill,h,1136000,S,19/08/2017,16.7,3150,4,2,2,
Wheelers Hill,h,1500000,S,19/08/2017,16.7,3150,4,2,2,657
Wheelers Hill,h,1194700,SP,19/08/2017,16.7,3150,4,2,2,875
Windsor,u,420000,S,19/08/2017,4.6,3181,1,1,2,
Wyndham Vale,h,475000,S,19/08/2017,27.2,3024,3,2,2,300
Yallambie,h,1025000,S,19/08/2017,12.7,3085,4,2,2,585
Abbotsford,h,1255000,S,23/09/2017,3,3067,3,2,2,
Aberfeldie,h,1830000,S,23/09/2017,7.5,3040,5,4,2,730
Aberfeldie,u,315000,SP,23/09/2017,7.5,3040,1,1,2,
Airport West,h,850000,S,23/09/2017,10.4,3042,3,1,2,551
Albanvale,h,565000,S,23/09/2017,14,3021,3,1,2,619
Albion,h,810000,SP,23/09/2017,10.5,3020,4,1,2,
Altona North,h,970000,S,23/09/2017,9.4,3025,4,1,2,561
Armadale,h,3000000,VB,23/09/2017,6.3,3143,4,3,2,474
Ashburton,h,890500,S,23/09/2017,10.2,3147,3,1,2,
Aspendale,t,1140000,S,23/09/2017,21.5,3195,3,2,2,
Avondale Heights,h,1032000,S,23/09/2017,9.5,3034,4,2,2,
Balwyn,h,2580000,PI,23/09/2017,7.9,3103,5,5,2,621
Balwyn,h,1420000,VB,23/09/2017,7.9,3103,3,2,2,
Balwyn North,h,1400000,VB,23/09/2017,9.7,3104,4,2,2,629
Bayswater,h,882500,S,23/09/2017,23.2,3153,3,2,2,
Bayswater North,h,724000,S,23/09/2017,23.2,3153,3,2,2,482
Beaconsfield Upper,h,764000,S,23/09/2017,39.8,3808,3,2,2,
Beaumaris,h,1150000,VB,23/09/2017,17.3,3193,3,2,2,335
Bentleigh East,u,815000,S,23/09/2017,13.8,3165,2,2,2,
Bentleigh East,h,1232500,SP,23/09/2017,13.8,3165,3,1,2,
Bentleigh East,h,930000,S,23/09/2017,13.8,3165,3,1,2,
Bentleigh East,h,1675000,S,23/09/2017,13.8,3165,4,2,2,400
Berwick,h,835000,SP,23/09/2017,35.2,3806,3,2,2,957
Black Rock,h,2525000,S,23/09/2017,17.3,3193,3,2,2,
Black Rock,u,945000,S,23/09/2017,17.3,3193,3,2,2,749
Blackburn,h,786000,S,23/09/2017,13.4,3130,3,1,2,1271
Blackburn North,u,590000,VB,23/09/2017,13.4,3130,2,1,2,
Blackburn North,h,1555000,S,23/09/2017,13.4,3130,5,2,2,602
Blackburn North,h,800000,PI,23/09/2017,13.4,3130,3,2,2,
Blackburn North,h,1475000,PI,23/09/2017,13.4,3130,4,2,2,582
Blackburn South,h,1229000,S,23/09/2017,13.4,3130,4,2,2,727
Bonbeach,h,965000,SP,23/09/2017,27,3196,3,2,2,572
Box Hill,u,466000,S,23/09/2017,10.9,3128,2,1,2,
Brighton,u,974250,S,23/09/2017,10.5,3186,2,1,2,
Brighton,u,630500,S,23/09/2017,10.5,3186,2,1,2,
Brighton East,h,2750000,S,23/09/2017,10.3,3187,5,3,2,626
Broadmeadows,h,430000,SP,23/09/2017,14,3047,3,1,2,
